Protein1,Protein2,ShortestPath
BCLAF1,YTHDC2,2
BCLAF1,POLR2B,2
BCLAF1,TPR,2
BCLAF1,MAP4,2
BCLAF1,NOP16,2
BCLAF1,FAM120A,2
BCLAF1,PTCD2,2
BCLAF1,RRP12,2
BCLAF1,MRTO4,2
BCLAF1,THRAP3,2
BCLAF1,NOP58,2
BCLAF1,USP36,2
BCLAF1,MLL3,2
BCLAF1,PUM2,2
BCLAF1,MRPL43,2
BCLAF1,ZFR,2
BCLAF1,RC3H2,3
BCLAF1,ZC3H11A,2
BCLAF1,PARP12,2
BCLAF1,ALDH18A1,2
BCLAF1,CSDA,2
BCLAF1,CCAR1,2
TFB1M,GRN,3
TFB1M,ZCCHC8,2
TFB1M,NSUN2,2
TFB1M,SKIV2L2,2
TFB1M,STAU2,2
TFB1M,CTNNA1,2
TFB1M,YTHDC2,2
TFB1M,POLR2B,2
TFB1M,TPR,2
TFB1M,MAP4,2
TFB1M,NOP16,2
TFB1M,FAM120A,2
TFB1M,PTCD2,2
TFB1M,RRP12,2
TFB1M,MRTO4,2
TFB1M,THRAP3,2
TFB1M,NOP58,2
TFB1M,USP36,2
TFB1M,MLL3,2
TFB1M,PUM2,2
TFB1M,MRPL43,2
TFB1M,ZFR,2
TFB1M,RC3H2,3
TFB1M,ZC3H11A,2
TFB1M,PARP12,2
TFB1M,ALDH18A1,2
TFB1M,CSDA,2
TFB1M,CCAR1,2
GRN,ZCCHC8,3
GRN,NSUN2,3
GRN,SKIV2L2,3
GRN,STAU2,3
GRN,CTNNA1,3
GRN,YTHDC2,3
GRN,POLR2B,3
GRN,TPR,3
GRN,MAP4,3
GRN,NOP16,3
GRN,FAM120A,3
GRN,PTCD2,3
GRN,RRP12,3
GRN,MRTO4,3
GRN,THRAP3,3
GRN,NOP58,3
GRN,USP36,3
GRN,MLL3,3
GRN,PUM2,3
GRN,MRPL43,3
GRN,ZFR,3
GRN,RC3H2,4
GRN,ZC3H11A,3
GRN,PARP12,3
GRN,ALDH18A1,3
GRN,CSDA,3
GRN,CCAR1,3
ZCCHC8,NSUN2,2
ZCCHC8,SKIV2L2,2
ZCCHC8,STAU2,2
ZCCHC8,CTNNA1,2
ZCCHC8,YTHDC2,2
ZCCHC8,POLR2B,2
ZCCHC8,TPR,2
ZCCHC8,MAP4,2
ZCCHC8,NOP16,2
ZCCHC8,FAM120A,2
ZCCHC8,PTCD2,2
ZCCHC8,RRP12,2
ZCCHC8,MRTO4,2
ZCCHC8,THRAP3,2
ZCCHC8,NOP58,2
ZCCHC8,USP36,2
ZCCHC8,MLL3,2
ZCCHC8,PUM2,2
ZCCHC8,MRPL43,2
ZCCHC8,ZFR,2
ZCCHC8,RC3H2,3
ZCCHC8,ZC3H11A,2
ZCCHC8,PARP12,2
ZCCHC8,ALDH18A1,2
ZCCHC8,CSDA,2
ZCCHC8,CCAR1,2
NSUN2,SKIV2L2,2
NSUN2,STAU2,2
NSUN2,CTNNA1,2
NSUN2,YTHDC2,2
NSUN2,POLR2B,2
NSUN2,TPR,2
NSUN2,MAP4,2
NSUN2,NOP16,2
NSUN2,FAM120A,2
NSUN2,PTCD2,2
NSUN2,RRP12,2
NSUN2,MRTO4,2
NSUN2,THRAP3,2
NSUN2,NOP58,2
NSUN2,USP36,2
NSUN2,MLL3,2
NSUN2,PUM2,2
NSUN2,MRPL43,2
NSUN2,ZFR,2
NSUN2,RC3H2,3
NSUN2,ZC3H11A,2
NSUN2,PARP12,2
NSUN2,ALDH18A1,2
NSUN2,CSDA,2
NSUN2,CCAR1,2
SKIV2L2,STAU2,2
SKIV2L2,CTNNA1,2
SKIV2L2,YTHDC2,2
SKIV2L2,POLR2B,2
SKIV2L2,TPR,2
SKIV2L2,MAP4,2
SKIV2L2,NOP16,2
SKIV2L2,FAM120A,2
SKIV2L2,PTCD2,2
SKIV2L2,RRP12,2
SKIV2L2,MRTO4,2
SKIV2L2,THRAP3,2
SKIV2L2,NOP58,2
SKIV2L2,USP36,2
SKIV2L2,MLL3,2
SKIV2L2,PUM2,2
SKIV2L2,MRPL43,2
SKIV2L2,ZFR,2
SKIV2L2,RC3H2,3
SKIV2L2,ZC3H11A,2
SKIV2L2,PARP12,2
SKIV2L2,ALDH18A1,2
SKIV2L2,CSDA,2
SKIV2L2,CCAR1,2
